Year,Medium,Count
1932.0,Lithograph,71
1932.0,Photomechanical reproduction,48
1932.0,Letterpress,31
1932.0,One from an illustrated book with thirty etchings (including supplementary plate),30
1932.0,Pencil on tracing paper,30
1932.0,Lithograph from a book with 26 lithographs (one with offset lithograph) and typographic designs,25
1932.0,"Etching, printed in black",13
1932.0,Pencil on paper,13
1933.0,Gelatin silver print,133
1933.0,One from an illustrated book with 214 letterpress illustrations,120
1933.0,Pencil on tracing paper,76
1933.0,Lithograph from an illustrated book with sixty-two lithographs,62
1933.0,Lithograph,54
1933.0,Two from an illustrated book with 214 letterpress illustrations,47
1933.0,"Lithograph, printed in black",44
1933.0,Letterpress,29
1933.0,Photogravure,25
1933.0,"Gelatin silver print, printed 1986",12
1934.0,Pencil on tracing paper,133
1934.0,Gelatin silver print,102
1934.0,Collotype reproduction from a box with ninety-four collotype reproductions (some with lithograph),73
1934.0,Lithograph,58
1934.0,Letterpress,52
1934.0,Pencil on paper,43
1934.0,One from an illustrated book with forty-two photogravure and drypoints after celluloid engravings,42
1934.0,One from an illustrated book with twenty-two etchings,22
1934.0,Print,22
1934.0,Collotype and lithograph reproduction from a box with ninety-four collotype reproductions (some with lithograph),19
1935.0,Gelatin silver print,117
1935.0,Pencil on tracing paper,84
1935.0,Lithograph,67
1935.0,Pencil on paper,67
1935.0,"Lithograph, printed in color",25
1935.0,Photogravure,24
1935.0,Offset lithograph from an illustrated book with twenty-six line block and twenty-one offset lithography reproductions,21
1935.0,Poster,18
1935.0,"Wood engraving, printed in black",17
1935.0,Line block from an illustrated book with twenty-six line block and twenty-one offset lithography reproductions,15
1936.0,Gelatin silver print,173
1936.0,Lithograph,42
1936.0,"Woodcut, printed in black",31
1936.0,Letterpress,21
1936.0,"Etching, printed in black",20
1936.0,Pencil on tracing paper,11
1936.0,"Wood engraving, printed in black",11
1936.0,"Gouache, watercolor, and pencil on paper",9
1936.0,"Gelatin silver print, printed by Rolf Petersen (?)",8
1936.0,Poster,8
1937.0,Gelatin silver print,122
1937.0,Pencil on tracing paper,81
1937.0,Lithograph,38
1937.0,One from a portfolio of thirty-one lithographs,31
1937.0,"Woodcut, printed in black",17
1937.0,Tempera and pencil on paper,16
1937.0,Pencil on tracing paper paper,14
1937.0,Letterpress,12
1937.0,Print,11
1937.0,"Wood engraving, printed in black",11
1938.0,Gelatin silver print,181
1938.0,Pencil on tracing paper,76
1938.0,Wood engraving from an illustrated book with seventy-four wood engravings and seventeen aquatint and etchings (eleven with drypoint),74
1938.0,Gouache on paper,40
1938.0,Lithograph,23
1938.0,"Gelatin silver print, printed 1965",16
1938.0,"Etching, printed in black",15
1938.0,Letterpress,15
1938.0,One from a portfolio of fifteen lithographs,15
1938.0,One from an illustrated book with 15 line block reproductions with linoleum cut additions,15
1939.0,Gelatin silver print,113
1939.0,Lithograph,50
1939.0,"Etching, printed in black",37
1939.0,Pencil on tracing paper,27
1939.0,Oil on canvas,12
1939.0,One from a series of twelve aquatints,12
1939.0,Etching,9
1939.0,Offset lithograph from an illustrated book with eight offset lithographs after collages,8
1939.0,"Woodcut, with hand additions",8
1939.0,Lithograph from an illustrated book,7
1940.0,Gelatin silver print,138
1940.0,Lithograph,25
1940.0,Etching,14
1940.0,Oil on canvas,14
1940.0,"Gelatin silver print, printed 1980",11
1940.0,Wood with Honduras mahogany veneer,11
1940.0,Pencil on paper,10
1940.0,Pencil on tracing paper,9
1940.0,Ink on paper,8
1940.0,Pencil and colored pencil on tracing paper,7
1941.0,Gelatin silver print,141
1941.0,Lithograph,42
1941.0,Dye transfer print,26
1941.0,"Woodcut, printed in color",21
1941.0,"Etching, printed in black",20
1941.0,Watercolor,20
1941.0,Gouache on paper,17
1941.0,Oil on canvas,16
1941.0,Watercolor and ink on notebook paper,15
1941.0,Ink on paper,13
1942.0,Gelatin silver print,77
1942.0,Lithograph,36
1942.0,"Gouache, watercolor, and pencil on paper",34
1942.0,Engraving over line block reproduction after wash drawing,23
1942.0,Oil on canvas,19
1942.0,"Gelatin silver print, printed 1965",18
1942.0,Ink and colored ink on colored paper,17
1942.0,"Gouache, watercolor, pencil, and ink on paper",9
1942.0,One from an illustrated book with nine relief halftone reproductions,9
1942.0,Ink on paper,8
1943.0,Gelatin silver print,58
1943.0,Lithograph,32
1943.0,One from an illustrated book with nineteen screenprints,19
1943.0,"Etching over relief halftone reproduction after drawing, relief printed",17
1943.0,One from a portfolio of twenty-five woodcuts,14
1943.0,"Ink, pencil, gouache, and pressure-sensitive tape on paper",11
1943.0,One from an illustrated book with 11 lithographs,11
1943.0,Lithograph from an illustrated book with ten lithographs,10
1943.0,One from an illustrated book with twelve woodcuts (including front and back covers),10
1943.0,Oil on canvas,8
1944.0,Letterpress from an illustrated book with eighty-five letterpress prints and one supplementary ink on paper drawing,85
1944.0,Gelatin silver print,62
1944.0,Wood engraving from an illustrated book with forty-one wood engravings and one woodcut,41
1944.0,Lithograph,40
1944.0,Oil on canvas,11
1944.0,Pencil on paper,10
1944.0,"Lithograph, printed in color",8
1944.0,"Lithograph, printed in black",7
1944.0,Pencil on vellum,7
1944.0,Engraving and drypoint,6
1945.0,Pencil on paper,145
1945.0,Gelatin silver print,87
1945.0,Colored pencil on paper,66
1945.0,Lithograph,33
1945.0,Pencil and colored pencil on paper,30
1945.0,Gelatin silver print with ink,24
1945.0,Pencil and colored pencil on tracing paper,20
1945.0,Pencil on tracing paper,17
1945.0,"Lithograph, printed in color",15
1945.0,Etching,14
1946.0,Gelatin silver print,68
1946.0,Lithograph,46
1946.0,"Woodcut, printed in color",25
1946.0,Pencil on paper,21
1946.0,"Linoleum cut, printed in black",15
1946.0,"Lithograph, printed in color",14
1946.0,"Pencil, ink (red) on paper",14
1946.0,"Pencil, colored pencil (orange) on tracing",13
1946.0,One from an illustrated book with twelve lithographs,12
1946.0,Screenprint,12
1947.0,Gelatin silver print,100
1947.0,One from an illustrated book with fifty-five collotype and pochoir reproductions and a supplementary suite of nineteen collotype and pochoir reproductions,55
1947.0,Lithograph,28
1947.0,Engraving,20
1947.0,One from a portfolio of twenty pochoirs,20
1947.0,One from the supplementary suite of nineteen collotype and pochoir reproductions of an illustrated book with fifty-five collotype and pochoir reproductions,19
1947.0,"Lithograph from an illustrated book with eighteen lithographs, four etchings (two with aquatint), two woodcuts, one photogravure, and one ready-made object",18
1947.0,Woodcut,13
1947.0,Letterpress,10
1947.0,Oil on canvas,10
1948.0,Gelatin silver print,98
1948.0,Ink on paper,75
1948.0,"Soft ground etching, printed in color",66
1948.0,"Lithograph, printed in color",39
1948.0,Lithograph,38
1948.0,"Line block reproduction after drawing, with stencil, from an illustrated book with fifty-six line block reproductions after drawings (thirty-two with stencil)",32
1948.0,Pencil and colored pencil on paper,25
1948.0,Line block reproduction after drawing from an illustrated book with fifty-six line block reproductions after drawings (thirty-two with stencil),24
1948.0,Pencil on paper,24
1948.0,"Soft ground etching, printed in black",22
1949.0,Gelatin silver print,90
1949.0,Page from a spiral-bound sketchbook with pencil on paper,86
1949.0,Page from a sketchbook with pencil and ink on paper,84
1949.0,Lithograph,47
1949.0,"Lithograph, printed in black",26
1949.0,"Lithograph, printed in color",25
1949.0,Oil on canvas,22
1949.0,"Line block and pochoir from an illustrated book with 18 line blocks with pochoir, three etchings (one with aquatint), and one lithograph (including cover)",18
1949.0,Hand-colored gelatin silver print,16
1949.0,"Lithograph from the supplementary suite of an illustrated book with fifteen lithographs (ten with pochoir), supplementary suite of fifteen lithographs, and one supplementary lithograph",15
1950.0,Page from a spiral-bound sketchbook with pencil on paper,124
1950.0,Gelatin silver print,97
1950.0,One from an illustrated book with eighty-three lithographs (including wrapper front and back),83
1950.0,Lithograph,61
1950.0,"Lithograph, printed in color",37
1950.0,Pencil on paper,37
1950.0,Letterpress,23
1950.0,Oil on canvas,19
1950.0,Colored pencil (red) on tracing paper,16
1950.0,One from a portfolio of sixteen photolithographs,16
1951.0,Gelatin silver print,117
1951.0,Lithograph,64
1951.0,"Woodcut and wood engraving, printed in color",64
1951.0,Pencil and colored pencil on paper,33
1951.0,Linoleum cut,27
1951.0,Pencil on paper,26
1951.0,One from an illustrated book with twenty letterpress plates and a supplementary suite of ten etchings,20
1951.0,Ink on paper,17
1951.0,Woodcut,12
1951.0,Blown glass,11
1952.0,Gelatin silver print,90
1952.0,Lithograph,52
1952.0,Linoleum cut from an illustrated book with four lithographs and twenty-seven linoleum cuts; and supplementary woodcut,29
1952.0,Woodcut,28
1952.0,"Lithograph, printed in color",13
1952.0,"Gelatin silver print, printed 1965",10
1952.0,Ink on paper,10
1952.0,Lithograph from an illustrated book with eleven lithographs (including front cover),10
1952.0,One from a portfolio of five woodcuts,10
1952.0,Oil on canvas,9
1953.0,Gelatin silver print,88
1953.0,Lithograph,57
1953.0,One from an illustrated book with twenty-eight linoleum cuts (including cover),28
1953.0,One from a portfolio of 26 offset lithographs,26
1953.0,"Gelatin silver print, printed 1965",19
1953.0,"Woodcut, printed in black",17
1953.0,"Woodcut, printed in color",17
1953.0,Oil on canvas,13
1953.0,Woodcut,12
1953.0,"Woodcut and linoleum cut, printed in color",12
1954.0,Pencil on paper,124
1954.0,Gelatin silver print,113
1954.0,Page from an illustrated book with forty-three in-text prints and one supplementary ink drawing (frontispiece),42
1954.0,Lithograph,38
1954.0,Glass,25
1954.0,Ink on paper,22
1954.0,"Gelatin silver print, printed 1965",18
1954.0,Oil on canvas,14
1954.0,Polyethylene,9
1954.0,Turn mold-blown glass,9
1955.0,Gelatin silver print,128
1955.0,"Page from a spiral-bound notebook with pencil, ballpoint pen, and gouache on paper",108
1955.0,"Page from a sketchbook with pencil, ink, and colored ink on paper",66
1955.0,One from an illustrated book with fifty-six letterpress prints,56
1955.0,Lithograph,40
1955.0,"Engraving, printed in color",15
1955.0,Poster,14
1955.0,Woodcut,14
1955.0,Stainless steel,13
1955.0,"Gelatin silver print, printed c. 1961",12
1956.0,Gelatin silver print,131
1956.0,Lithograph,41
1956.0,Wood engraving,18
1956.0,Offset lithograph from an illustrated book with one wood engraving and fifteen offset lithographs,15
1956.0,One from a portfolio of twelve Katazome stencils,12
1956.0,Ink on paper,11
1956.0,"Aquatint and etching, printed in black",10
1956.0,"Collagraph and aquatint from an illustrated book with ten collagraph and aquatints, one collagraph and etching, and collagraph cover",10
1956.0,"Gelatin silver print, printed 1965",10
1956.0,"Aquatint and etching, printed in color",9
1957.0,Gelatin silver print,115
1957.0,Pencil on paper,61
1957.0,"Inkjet print, printed 2019",55
1957.0,Lithograph,41
1957.0,Offset lithograph from an illustrated book with forty-one offset lithographs,41
1957.0,"Background animation, mixed media on paper",37
1957.0,Pencil and colored pencil on paper,29
1957.0,"Woodcut, printed in black",28
1957.0,Pencil on acetate,22
1957.0,Photostat,18
1958.0,Pencil on paper,187
1958.0,Gelatin silver print,148
1958.0,One from a portfolio of eighteen lithographs,98
1958.0,Lithograph,59
1958.0,Pencil on tracing paper,51
1958.0,Pencil on ozalid,49
1958.0,"Pencil, colored pencil on paper",38
1958.0,Pencil on note paper,36
1958.0,One from a portfolio of ten lithographs,35
1958.0,"Gelatin silver print, printed 1965",28
1959.0,One from a portfolio of eighteen lithographs,146
1959.0,Gelatin silver print,113
1959.0,Lithograph,86
1959.0,Pencil on acetate,84
1959.0,Pencil on paper,69
1959.0,Pencil and colored pencil on paper,37
1959.0,Ink on paper,35
1959.0,One from a portfolio of ten lithographs,31
1959.0,Pencil on tracing paper,18
1959.0,Lithograph from an illustrated book with seventeen lithographs,17
1960.0,Lithograph,167
1960.0,Gelatin silver print,104
1960.0,Pencil on acetate,98
1960.0,Ink on paper,25
1960.0,One from a portfolio of ten lithographs,20
1960.0,Oil on canvas,19
1960.0,Etching,13
1960.0,Ink and pencil on paper,10
1960.0,Lithograph from an illustrated book of ten lithographs (including title page),10
1960.0,One from a portfolio of twenty lithographs,10
1961.0,Lithograph,344
1961.0,Gelatin silver print,145
1961.0,Ink on paper,33
1961.0,One from a portfolio of ten lithographs,22
1961.0,Oil on canvas,18
1961.0,One from a series of sixteen screenprints,16
1961.0,One from a portfolio of fifteen lithographs,15
1961.0,Etching,14
1961.0,One from a series of eleven lithographs,11
1961.0,Letterpress,10
1962.0,Gelatin silver print,412
1962.0,Lithograph,240
1962.0,One from an illustrated book with thirty screenprints (including title page),30
1962.0,Ink on paper,28
1962.0,One from a series of twenty-two offset photolithographs,22
1962.0,One from an illustrated book with sixteen lithographs,16
1962.0,"Etching, printed in black",15
1962.0,Pencil and ink on vellum,15
1962.0,Lithograph from an illustrated book with 14 lithographs,14
1962.0,One from a portfolio of fourteen lithographs,14
1963.0,Lithograph,268
1963.0,Gelatin silver print,214
1963.0,Ink on paper,113
1963.0,One from a portfolio of ten lithographs,47
1963.0,Offset lithograph,29
1963.0,"Gelatin silver print, printed 1965",26
1963.0,Letterpress,22
1963.0,"Etching, printed in color",20
1963.0,"Lithograph, printed in color",19
1963.0,"Gelatin silver print, printed 2005",18
1964.0,Gelatin silver print,235
1964.0,Lithograph,201
1964.0,"Page from a sketchbook with pencil, ink, charcoal, gouache, ballpoint pen, and oil paint on paper",68
1964.0,Lithograph from an illustrated book with sixty-two lithographs and reproductions,56
1964.0,Offset lithograph,37
1964.0,Screenprint,33
1964.0,Offset on transparentized paper,26
1964.0,Double-sided offset,22
1964.0,One from a portfolio of ten lithographs,20
1964.0,Oil on canvas,16
1965.0,Lithograph,322
1965.0,Gelatin silver print,157
1965.0,Pencil on paper,88
1965.0,Page from a spiral-bound sketchbook with pencil and ink on paper,38
1965.0,"One double-sided folio of an unbound artist’s book with ink, colored ink, ballpoint pen, felt-tip pen, watercolor, and cut-and-pasted colored paper on 34 folded double-sided sheets of paper and a found painted silk sheet with a stamp and label",34
1965.0,"One from a portfolio of thirty-one photolithographs, offset printed",31
1965.0,Offset lithograph,29
1965.0,One from a portfolio of eight lithographs,24
1965.0,One from a portfolio of twelve lithographs,24
1965.0,"Woodcut, printed in color",24
1966.0,Lithograph,232
1966.0,Gelatin silver print,201
1966.0,One from a portfolio of twenty-four lithographs,72
1966.0,"16mm film (black and white, silent)",26
1966.0,Charcoal on paper,25
1966.0,Offset lithograph,25
1966.0,"Lithograph, printed in color",24
1966.0,Silkscreen,23
1966.0,Screenprint,20
1966.0,Etching and aquatint,19
1967.0,Lithograph,243
1967.0,Gelatin silver print,131
1967.0,One from a portfolio of 101 screenprints (including title page and colophon),101
1967.0,Offset lithograph,63
1967.0,Offset lithography,52
1967.0,One from an illustrated book with forty-six lithographs,46
1967.0,Screenprint,38
1967.0,Ink and pencil on notebook paper,35
1967.0,Ink on acetate,29
1967.0,Offset lithograph from a portfolio of twenty-four offset lithographs (one with screenprint) and one screenprint,23
1968.0,Lithograph,373
1968.0,Gelatin silver print,250
1968.0,Offset lithograph,64
1968.0,Screenprint,39
1968.0,"Lithograph, printed in color",31
1968.0,One from a series of twenty-six screenprints,26
1968.0,One from a portfolio of eleven lithographs,22
1968.0,One from a portfolio of twenty woodcuts,20
1968.0,One from a portfolio of eighteen lithographs,18
1968.0,One from a series of seven lithographs,14
1969.0,Lithograph,221
1969.0,Gelatin silver print,172
1969.0,One from a portfolio of seventy-six mixed media stains (including cover),75
1969.0,Screenprint,42
1969.0,One from a portfolio of 38 screenprints,37
1969.0,Offset lithograph,26
1969.0,One from an illustrated book with twenty-six screenprints,26
1969.0,One from a portfolio of twenty-five lithographs,23
1969.0,One from a portfolio of ten lithographs,22
1969.0,Two color ink on newsprint,22
1970.0,Gelatin silver print,143
1970.0,Lithograph,127
1970.0,"Page from a spiral-bound sketchbook with ink, pencil, and gouache on paper",68
1970.0,Lithograph from an illustrated book with 36 lithographs,36
1970.0,Pencil on paper,35
1970.0,"Felt-tipped marker, pencil and colored pencil on paper",30
1970.0,Screenprint,30
1970.0,Stamped ink on postcard,28
1970.0,Offset lithograph,27
1970.0,One from a portfolio of 26 screenprints,26
1971.0,Gelatin silver print,703
1971.0,Chromogenic print,132
1971.0,Lithograph,61
1971.0,Lithograph from an illustrated book with forty lithographs (including wrapper front and cover),40
1971.0,Offset lithograph,28
1971.0,Gouache and pencil on paper,20
1971.0,Screenprint,20
1971.0,One from a portfolio of ten lithographs,19
1971.0,One from a portfolio of sixteen etchings,16
1971.0,One from a portfolio of fifteen etchings,15
1972.0,Gelatin silver print,210
1972.0,Lithograph,67
1972.0,Etching,47
1972.0,Screenprint,38
1972.0,"Video (black and white, sound)",30
1972.0,Gouache and pencil on paper,22
1972.0,Offset lithograph,21
1972.0,"One from a set of 156 offset printed bulletins, exhibition copy",13
1972.0,Dye transfer print,12
1972.0,"Chromogenic print, printed 2013",11
1973.0,Gelatin silver print,250
1973.0,Chromogenic print,184
1973.0,One from an illustrated book with with seventy-nine linoleum cuts,79
1973.0,Lithograph,52
1973.0,Synthetic polymer paint on paper,33
1973.0,One from a portfolio of 30 screenprints,30
1973.0,One from an illustrated book with twenty-eight etchings,28
1973.0,"Screenprint, printed in color",27
1973.0,Offset lithograph,21
1973.0,One from a series of thirty-eight 3M color-in-color magnetic process prints,20
1974.0,Gelatin silver print,193
1974.0,Lithograph,40
1974.0,Stereo slide,30
1974.0,Ink on vellum,29
1974.0,Offset lithograph,26
1974.0,Screenprint,23
1974.0,One from a portfolio of twenty-two etching and drypoints,22
1974.0,"Chromogenic print, printed 2013",20
1974.0,"Video (color, sound)",20
1974.0,Chromogenic print,18
1975.0,Gelatin silver print,170
1975.0,Lithograph,40
1975.0,Offset lithograph,21
1975.0,"Video (black and white, sound)",19
1975.0,Chromogenic print,17
1975.0,Ink on paper,16
1975.0,Pencil and ink on paper,16
1975.0,Etching,15
1975.0,Pencil on paper,15
1975.0,One from a portfolio of twelve screenprints,12
1976.0,Chromogenic print,116
1976.0,Gelatin silver print,112
1976.0,Page from a spiral-bound sketchbook with pencil on paper,94
1976.0,One from an illustrated book with thirty-nine etchings (including title page and colophon),39
1976.0,Lithograph,38
1976.0,Ink on paper from a notebook with thirty-eight ink on paper drawings,32
1976.0,"Video (color, sound)",31
1976.0,Offset lithograph,27
1976.0,Colored and pressed paper pulp,20
1976.0,Ink on paper,16
1977.0,"Gelatin silver prints, paper and ink on board",213
1977.0,Gelatin silver print,177
1977.0,Lithograph,78
1977.0,One from a portfolio of thirty-six prints in various media,36
1977.0,Ink and stamps on postcard,27
1977.0,"Inkjet print, printed 2014",24
1977.0,"Inkjet print, printed 2017",23
1977.0,Offset lithograph,21
1977.0,Etching and aquatint from a portfolio of twenty etchings (eighteen with aquatint and one with drypoint),18
1977.0,"One from a portfolio of 18 photoetchings
",15
1978.0,Gelatin silver print,119
1978.0,Lithograph,73
1978.0,Chromogenic print,34
1978.0,Offset lithograph,31
1978.0,Ink and pencil on paper,29
1978.0,"Video (color, sound)",22
1978.0,One from a portfolio of twenty screenprints (two with lithograph),18
1978.0,Screenprint,18
1978.0,"Watercolor on transparentized paper
",16
1978.0,Aquatint from an illustrated book with fourteen aquatints,14
1979.0,Gelatin silver print,374
1979.0,Lithograph,71
1979.0,"Lithograph, printed in color",37
1979.0,Offset lithograph,28
1979.0,"Video (color, sound)",19
1979.0,"Lithograph and pochoir, printed in color",16
1979.0,Chromogenic print,15
1979.0,Screenprint,12
1979.0,Silkscreen,11
1979.0,Oil on canvas,10
1980.0,Gelatin silver print,228
1980.0,One from an illustrated book with sixty-three etchings,127
1980.0,Lithograph,68
1980.0,Dye transfer print,59
1980.0,Offset lithograph,32
1980.0,Ink on paper,28
1980.0,"Super 8mm film transferred to video (color, silent)",25
1980.0,Pencil on paper,24
1980.0,"Video (color, sound)",23
1980.0,"Gelatin silver print, printed 1993",18
1981.0,Gelatin silver print,70
1981.0,Lithograph,46
1981.0,Offset lithograph,37
1981.0,Chromogenic print,23
1981.0,"Video (color, sound)",23
1981.0,Silkscreen,20
1981.0,"Gelatin silver print, printed 2006",15
1981.0,"Super 8mm film transferred to video (color, silent)",15
1981.0,"Offset lithograph from an artist's book, offset printed with collage, stamp, gouache, pencil, and ink additions",13
1981.0,Platinum/palladium print,12
1982.0,Gelatin silver print,91
1982.0,"Super 8mm film transferred to video (color, silent)",41
1982.0,Lithograph,39
1982.0,Chromogenic print,26
1982.0,One from a portfolio of twenty-four etching and aquatints,24
1982.0,"Video (color, sound)",21
1982.0,Gelatin silver printing-out-paper print,20
1982.0,Offset lithograph,19
1982.0,Photostat,15
1982.0,Dye transfer print,12
1983.0,Gelatin silver print,96
1983.0,"Video (color, sound)",53
1983.0,Lithograph,49
1983.0,Ink on paper,31
1983.0,One from an illustrated book with thirty lithographs (including cover),30
1983.0,"Gelatin silver print, printed 2006",24
1983.0,"Super 8mm film transferred to video (color, silent)",23
1983.0,Chromogenic print,22
1983.0,Offset lithograph,18
1983.0,One from an illustrated book with twenty lithographs (some with tipped-in photolithographic reproductions of newspaper clippings or lithographs),15
1984.0,Gelatin silver print,89
1984.0,"Video (color, sound)",51
1984.0,Pencil and watercolor on paper,41
1984.0,Lithograph,31
1984.0,Platinum/palladium print in bound volume,30
1984.0,Dye transfer print,21
1984.0,One from an illustrated book with twenty lithographs and four letterpress prints (including cover),20
1984.0,Chromogenic print,19
1984.0,Etching,17
1984.0,"Wood engraving, printed in black",17
1985.0,Gelatin silver print,75
1985.0,"Video (color, sound)",42
1985.0,Chromogenic print,29
1985.0,Lithograph,28
1985.0,"Super 8mm film transferred to video (color, silent)",21
1985.0,"Artist's book, lithograph printed",19
1985.0,Silver dye bleach print,19
1985.0,"Lithograph with stencil from an illustrated book with nine lithographs, eight with stencil, and two mounted color photographs",9
1985.0,One from a portfolio of nine screenprint and monotypes with ink additions,9
1985.0,Colored pencil on print,8
1986.0,Lithograph,68
1986.0,Gelatin silver print,46
1986.0,"Video (color, sound)",29
1986.0,Chromogenic print,22
1986.0,One from a series of twenty-two lithographs,22
1986.0,"Artist's book, lithograph printed",19
1986.0,"Lithograph, printed in color",19
1986.0,Woodcut,15
1986.0,fourteen digital image files (scans of color slides),15
1986.0,Offset lithograph,14
1987.0,Gelatin silver print,58
1987.0,Chromogenic print,48
1987.0,One from an illustrated book with thirty-five woodcuts,35
1987.0,"Screenprint, printed in color",30
1987.0,"Video (color, sound)",24
1987.0,Lithograph,20
1987.0,"Screenprint, printed in black",16
1987.0,"Super 8mm film transferred to video (color, silent)",14
1987.0,Watercolor and colored pencil on paper,14
1987.0,"Gelatin silver print, printed 1987",13
1988.0,Gelatin silver print,57
1988.0,Chromogenic print,46
1988.0,One from a portfolio of ten woodcuts,30
1988.0,"Super 8mm film transferred to video (color, silent)",20
1988.0,Pencil and colored pencil on paper,19
1988.0,Lithograph,16
1988.0,Screenprint,16
1988.0,"Video (color, sound)",16
1988.0,"Linoleum cut, printed in color with bleed through from preceding and following plates",15
1988.0,Pencil on paper,14
1989.0,Gelatin silver print,63
1989.0,Chromogenic print,33
1989.0,One from a portfolio of thirty-three lithographs,33
1989.0,Page from a spiral-bound sketchbook with pencil on paper,30
1989.0,Lithograph,27
1989.0,"Video (color, sound)",21
1989.0,"Artist's book, lithograph printed",20
1989.0,Platinum/Palladium print,15
1989.0,One from a portfolio of fourteen aquatints on xerograph with chine collé,14
1989.0,"One etching, aquatint and photogravure from a portfolio of fourteen etching and aquatints thirteen with photogravure",13
1990.0,"Colored pencil, pencil, and ballpoint pen on board",118
1990.0,Gelatin silver print,78
1990.0,Engraving,31
1990.0,"Engraving, with hand additions",30
1990.0,"Video (color, sound)",30
1990.0,One from a portfolio of 28 aquatints,28
1990.0,Platinum/Palladium print,28
1990.0,Chromogenic print,26
1990.0,Linoleum cut from an illustrated book with twenty-nine linoleum cuts (two with pochoir and two with letterpress) and seven woodcuts,25
1990.0,"Screenprint from a portfolio of twenty-three screenprinted, one Xeroxed and four offset posters",23
1991.0,"Colored pencil, pencil, and ballpoint pen on board",332
1991.0,Lithograph,76
1991.0,"Ink wash on rag, barrier paper, and cardboard",67
1991.0,Gelatin silver print,45
1991.0,Chromogenic print,33
1991.0,"Drypoint, printed in black",24
1991.0,"Video (color, sound)",21
1991.0,Etching,19
1991.0,"Artist's book, lithograph printed",18
1991.0,One from an illustrated book with fifteen line blocks,15
1992.0,Gelatin silver print,36
1992.0,Drypoint,31
1992.0,"Video (color, sound)",29
1992.0,Leather-bound embossed album with 24 leaves,25
1992.0,Lithograph,16
1992.0,Offset lithograph,16
1992.0,One from a portfolio of sixteen relief prints,16
1992.0,Chromogenic print,14
1992.0,Etching,13
1992.0,Gelatin silver printing-out-paper print,13
1993.0,Drypoint,32
1993.0,"Video (color, sound)",28
1993.0,Gelatin silver print,26
1993.0,"Drypoint, with hand additions",23
1993.0,Offset lithograph,23
1993.0,Gelatin silver printing-out-paper print,21
1993.0,Chromogenic print,14
1993.0,Etching,13
1993.0,Lithograph,13
1993.0,One from a portfolio of ten lithographs,10
1994.0,Page with chromogenic print and text,125
1994.0,Photolithograph,70
1994.0,Gelatin silver print,68
1994.0,"One from a portfolio of forty-seven offset lithographs, mounted on board",47
1994.0,One from a series of forty screenprints,40
1994.0,"Video (color, sound)",29
1994.0,Lithograph,25
1994.0,One from a portfolio of 22 offset lithographs,22
1994.0,Drypoint,21
1994.0,One from a portfolio of eighteen etching and aquatints with chine collé,18
1995.0,Gelatin silver print,76
1995.0,Ink on paper,67
1995.0,Drypoint,62
1995.0,"Video (color, sound)",40
1995.0,Photogravure,36
1995.0,Lithograph,26
1995.0,Engraving and photogravure,24
1995.0,Engraving over photogravure,21
1995.0,Etching,18
1995.0,"Drypoint, with hand additions",16
1996.0,Gelatin silver print,49
1996.0,Chromogenic print,37
1996.0,"Video (color, sound)",32
1996.0,Drypoint,29
1996.0,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,25
1996.0,Photogravure,21
1996.0,Etching,20
1996.0,Lithograph,20
1996.0,One from a portfolio of thirteen screenprints,13
1996.0,"Inkjet print, printed 2018",12
1997.0,Gelatin silver print,52
1997.0,One from a portfolio of forty lithographs,40
1997.0,Silkscreen,23
1997.0,Etching,20
1997.0,Offset lithograph from an illustrated book with twenty offset lithographs and two photogravures,20
1997.0,Aquatint,16
1997.0,"Video (color, sound)",16
1997.0,Screenprint,15
1997.0,Chromogenic print,14
1997.0,Recycled glass,11
1998.0,One from a portfolio of 264 color Xeroxes,264
1998.0,Gelatin silver print,28
1998.0,Etching,23
1998.0,Chromogenic print,20
1998.0,"Etching and aquatint from a portfolio of 27 etchings, 17 with aquatint",17
1998.0,"Etching, engraving, and drypoint, with hand additions",16
1998.0,Lithograph,16
1998.0,"Video (color, sound)",13
1998.0,Silver dye bleach print,12
1998.0,Etching and aquatint,11
1999.0,"Drypoint, with hand additions",73
1999.0,Chromogenic print,65
1999.0,Drypoint,63
1999.0,Gelatin silver print,56
1999.0,"One from a portfolio of thirty-six woodcuts with letterpress additions, mounted on paper",36
1999.0,Letterpress,26
1999.0,"Video (color, sound)",20
1999.0,Lithograph,18
1999.0,One from a portfolio of 16 photogravures,16
1999.0,One from a portfolio of thirteen screenprints,13
2000.0,"Drypoint, with hand additions",32
2000.0,Drypoint,27
2000.0,Lithograph,26
2000.0,Gelatin silver print,23
2000.0,"Video (color, sound)",21
2000.0,One from a portfolio of 20 etchings,20
2000.0,Etching and aquatint,19
2000.0,Chromogenic print,17
2000.0,One from a portfolio of thirteen lithographs,13
2000.0,Pencil on paper,13
2001.0,One from a portfolio of 139 etchings,139
2001.0,Gelatin silver print,126
2001.0,"Drypoint, with hand additions",75
2001.0,Pencil on paper,42
2001.0,"Ink, colored ink, and pencil on graph paper",25
2001.0,Lithograph,20
2001.0,Inkjet print,19
2001.0,Chromogenic print,16
2001.0,One of sixteen offset lithographs,16
2001.0,"Drypoint and engraving, with hand additions",14
2002.0,"Drypoint, with hand additions",56
